Código;Código alternativo;Nombre;Marca
56920321;LAMP;LAMPARA DE MANO LED 220V CON 5 MT DE CABLE;GEM
27014321;;LAMPARA DE PUESTA A PUNTO PORTATIL                 (MARCA GD TOOLS);
90021555;CDP 2841;LAMPARA DE TRABAJO PORTATIL CON LED 5 MTS DE CABLE PARA 12 VOLTS;
90012026;LDA-3F;LAMPARA ESTROBOSCOPICA PARA MEDICION DE RPM TELME  : LDA-3F;TELME
93307808;;LÁMPARA ESTROBOSCÓPICA PARA PUESTA A PUNTO         ALIMENTACION A PILAS -REC ABS;
24040242;LSI;LAMPARA ESTROBOSCOPICA TELME MOD: LSI;TELME
99999621;TKRS 31 SKF;LAMPARA ESTROBOSCOPICA- TKRS 31 SKF;SKF
66655664;;LAMPARA H4 12V  60/55 W;
85064156;64196;LAMPARA H4 24 VOLT 64196;OSRAM
77777676;;LAMPARA HALOGENA 500 W;OSRAM
90004675;64702 R7S FS1;LAMPARA HALOGENA 500W 230 V LONG. 1196MM DIAM.12MM;OSRAM
90020350;320;LAMPARA HALOGENA PARA PROYECTOR 500 WATTS A 220 V;INTERELEC
27012595;2595B;LAMPARA HALOGENA, CUARZO 118MM 500W                EN BLISTER;IN-PACK
99995816;EI4514145;LAMPARA INALAMBRICA MODELO EI4514145               (LAMPARA SIN BATERIA NI CARGADOR);EINHELL
90025339;OSRAMLN00000016;LAMPARA LED 12W/865 E27;OSRAM
70104428;;LAMPARA LED 60W 220V E40 FORMA ELIPSOIDAL;
75027208;;LAMPARA LED DE TALLER RECARGABLE 280 ML TRUPER;
85001243;377;LAMPARA LED LS 300 R 220 V 216 LED (ROJA 300 mm);EMAVE
85001244;378;LAMPARA LED LS 300 V 220 V 216 LED (VERDE 300 mm);EMAVE
52121839;L21;LAMPARA LED PORTATIL CON MANGO FLEXIBLE MOD. L21;IRIMO
75027190;TWLI20258;LAMPARA LED REFLECTOR 20W                          (INCLUYE BATERIA 2AH Y CARGADOR LUZ BLANCO FRIO);TOTAL
90006437;;LAMPARA LINTERN ROSCA 3,8VOLT;
90023306;CD 7266;LAMPARA MINERA DE 23 LED NO INCLUYE PILAS;
